id;surtitre;titre
5444;BAHOKEN F., 2012;Cartographie des flux et production d'indices sur l'intensité des échanges
5457;FOL S., 2012;The socio-spatial dimensions of urban shrinkage
5458;DUCRUET C., NOTTEBOOM T., 2012;Developing liner service networks in container shipping
5459;GIVONI M., DOBRUSZKES F., LUGO I., 2012;Uncovering the Real Potential for Air-Rail Substitution - An Exploratory Analysis Energy
5460;BESSE J.M., 2012;Schématisations de l'espace et formes de l'écriture géographique au tournant des 16e et 17e siècles en Europe
5461;BESSE J.M., 2012;Mise en oeuvre et diffusion du modèle de l'atlas dans les cultures scientifiques et artistiques modernes en Europe
5463;BESSE J.M., 2012;Longer l'espace: le paysage et l'expérience de la marche
5464;BESSE J.M., 2012;Early modern geographical atlases: graphic spaces and cognitive practices
5506;LE NECHET F., 2012;Urban spatial structure, daily mobility and energy consumption: a study of 34 European cities
5507;DUCRUET C., NOTTEBOOM T., 2012;The worldwide maritime network of container shipping: spatial structure and regional dynamics
5508;MOHAMED-CHERIF F.Z., DUCRUET C., 2012;Du global au local : les nouveaux gérants des terminaux portuaires algériens
5511;GRILLO F., VALLEE J., CHAUVIN P., 2012;Inequalities in cervical cancer screening for women with or without a gynaecological follow-up, in Paris, France
5513;BANOS A., SANDERS L., 2012;Vers une cartographie sémantique des modèles urbains : des individus aux systèmes de villes
5518;CATTAN N., 2012;La métropolisation de la France: entre fragmentation  et hypermobilité.
5512;CATTAN N., 2012;Visibilité de populations en position de minorité et hybridations territoriales
5543;RAAD L. , 2012;Pratiques et représentations des couches moyennes en banlieue rouge : stratégies résidentielles et ancrage territorial
5547;RAAD L. , 2012;Politiques urbaines et contexte local en banlieue rouge : des freins à la gentrification?
5548;FRETIGNY J.-B. , 2012;Aéroport : non-lieu ou point d'ancrage du Monde ?
5550;FEN-CHONG J., MATHIAN H., BOULIER J., OLTEANU A.-M. , 2012;Révéler les structures urbaines à partir des communications mobiles
5552;FEN-CHONG J., LOBBE Q., BILCKE J. , 2012;Revealing foreign visitors mobility practices in Paris using mobile phone data
5559;BANOS., 2012;Network effects in Schelling's model of segregation: new evidence from agent-based simulation 
5564;REY S., SCHMITT C., 2012;Guided and automated exploration for the calibration of an agent based model
5568;PLEVEN B., 2012;La représentation des suburbs dans les séries télévisées états-uniennes, communication personnelle sur le thème « habiter l'inhabitable »
5589;GODILLON S., 2012;<em>La rénovation urbaine, une opportunité de réduire les inégalités socio-spatiales d'être impliqué dans un accidents dans les espaces publics</em> 
5595;LE GOIX R., 2012;La financiarisation et le barbecue à Los Angeles. Le tournant financier de la production du suburbain
5596;LE GOIX R., PIERMAY J.-L., 2012;Des villes vivables ?
5594;LE GOIX R., VESSELINOV E., 2012;Gated Communities and House Prices: Suburban Change in Southern California, 1980-2008
5615;MINSTER C., HUBE R., 2012;Population Density Effect on Mobility Characteristics in France
5626;BOICHOT C., 2012;Urban spaces of creativity. The spatialization of Contemporary art places and networks in Paris and Berlin
5629;MAULAT J., 2012;The Implementation of Rail-Oriented Development in Suburban Areas : from Theory to Practice. The Case of Toulouse's West Railway Corridor
5640;FRETIGNY J.-B. , 2012;<em>L'usage de l'espace aéroportuaire par les passagers à Paris Charles-de-Gaulle</em>
5655;BESSE J.M., 2012;La circulation des savoirs géographiques en Europe à la fin du XVIe siècle : lieux, chemins, objets
5658;HALBERT L., CICILLE P., PUMAIN D., ROZENBLAT C., 2012;<em>Quelles métropoles en Europe ? Analyse comparée, synthèse</em>
5659;MORENO D., BADARIOTTI D., BANOS A., 2012;Un automate cellulaire pour expérimenter les effets de la proximité dans le processus d'étalement urbain : le modèle Raumulus
5664;CHARREIRE H. WEBER C., CHAIX B., SALZE P., CASEY R., BANOS A., BADARIOTTI D., KESSE-GUYOT E., HERCBERG S., SIMON C., OPPERT J.-M., 2012;Identifying builg environmental patterns using cluster analysis and GIS: Relationships with walking, cycling and body mass index in French adults
5668;COLLIGNON B., 2012;Journée autochtone
5672;ORAIN O., 2012;L'écrit des géographes : entre contraintes de réalisme et exigences savantes
5678;ORAIN O., 2012;La fabrique d'un livre : réponse et discussion
6242;PUMAIN D., ROBIC M.-C., 2012;Les Quarante Glorieuses de l'Espace Géographique. 
6243;HALBERT L., CICILLE P., PUMAIN D., ROZENBLAT C., 2012;Quelles métropoles en Europe ? Analyse comparée, synthèse.
6244;BILLEN G., GARNIER J., BARLES S., 2012;History of the urban environmental imprint : Introduction to a multidisciplinary approach to the long-term relationships between western cities and their hinterland
6245;BILLEN G., GARNIER J., BARLES S., 2012;Grain, meat and vegetables to feed Paris: where did and do they come from? Localising Paris food supply areas from the eighteenth to the twenty-first century
6246;WANG C., DUCRUET C., 2012;New port development and global city making: Emergence of the Shanghai-Yangshan multilayered gateway hub
6247;DUCRUET C., 2012;Ports et routes maritimes dans le monde (1890-1925)
6248;WANG C., WANG J., DUCRUET C., 2012;Peripheral challenge in container port system: A case study of Pearl River Delta
6249;DUCRUET C., MERK O., 2012;Distribución de las rutas del transporte marítimo de corta distancia
6250;SANTAMARIA F., 2012;Les villes moyennes françaises et leur rôle en matière d'aménagement du territoire : vers de nouvelles perspectives ?
6251;PUMAIN D., 2012;Une théorie géographique pour la loi de Zipf
6252;GUÉROIS M., BRETAGNOLLE A., GIRAUD T., MATHIAN H. , 2012;A new database for the cities of Europe? Urban Morphological Zones (CLC2000) confronted to three national databases of urban agglomerations (Denmark, France Sweden)
6253;CARY P., FOL S., 2012;Les métropoles face aux dynamiques de ségrégation et de fragmentation
6254;RIVIÈRE D., 2012;La question métropolitaine en Italie : entre compétition et risque de « dé-cohésion ».
6255;DREVELLE M., 2012;Structure des navettes domicile-travail et polarités secondaires autour de Montpellier
6257;VALLEE J., 2012;L'influence croisée des espaces de résidence  et de mobilité sur la santé. L'exemple des recours aux soins de prévention et de la dépression dans l'agglomération parisienne.
6258;COHEN M., BAUDOIN R., PALIBRK M., PERSYN N., RHEIN C., 2012;Urban biodiversity and social inequalities in built-up cities, new evidences, next questions, the example of Paris, France
6259;COTTINEAU C., 2012;Un système intermédiaire, Les trajectoires des villes russes entre dynamiques générales et histoires spécifiques
6260;FLEURY A., HOUSSAY-HOLZSCHUH M., 2012;Pour une géographie sociale des pays émergents
6261;FLEURY A., TONNELAT S., 2012;Espaces publics urbains et concertation
6262;FLEURY A., FRANÇOIS J.-C., MATHIAN H., RIBARDIERE A., SAINT-JULIEN T., 2012;Les inégalités socio-spatiales progressent-elles en Île-de-France ?
6263;DOUAY N., 2012;L'activisme urbain montréalais : des luttes urbaines à la revendication d'une ville durable et collaborative
6264;DESJARDINS X., DOUAY N., GAGNIÈRE V., 2012;Évolution des schémas, permanence des tracés : la planification de la région parisienne au prisme des réseaux ferroviaires 
6265;DOUAY N., 2012;Urbanisme 2.0, de la contestation à la participation
6266;MATHIAN H., SANDERS L. (ED), 2012;Construction et re-construction d'information géographique
6267;SANDERS L., 2012;Regards croisés de géographes, économistes et archéologues sur la hiérarchie des systèmes de peuplement : de l'empirie aux systèmes complexes
6268;FAVORY F., NUNINGER L. SANDERS L., 2012;Intégration de concepts de géographie et d'archéologie spatiale pour l'étude des systèmes de peuplement
6269;DUCRUET C., 2012;Visualisation et analyse du réseau maritime mondial depuis le XVIIIe siècle
6270;DUPUY G., 2012;Quels déplacements dans la ville de demain ?
6271;FLEURY A., 2012;La gentrification au prisme de l'action sur les espaces publics 
6272;FLEURY A., 2012;Produire des espaces publics abordables ?
6273;RIVIÈRE D., 2012 ;Shrinking regioni, Shrinking città e coesione in Europa
6274;RIVIÈRE D., 2012;L'Italie et la question des disparités régionales
6275;THOIN M., RIVIÈRE D., 2012;Compte-rendu de la conférence  de D Rivière, Italie : Quel impact de la politique de cohésion sur les disparités territoriales ? 
6276;DESJARDINS X, PERSYN N., 2012;Les Pays-Bas : toujours un modèle ?
6277;TROUDE A., 2012;La déstabilisation des Balkans
6278;TROUDE A., 2012;Le Kosovo : un quasi-Etat dans la nouvelle guerre froide
6279;FLEURY A., 2012;Les espaces publics/privés de Berlin 
6280;VERDIER N., 2012;Circonscription
6281;VERDIER N., 2012;Cartes anciennes, sources et usages
6282;SEVERO M., GIRAUD T., DOUAY N., 2012;The Wukan's protests: just-in-time identification media events 
6283;SEVERO M., GIRAUD T., DOUAY N., 2012;La révolte de Wukan vue par les médias internationaux
6284;BARLES S., 2012;Une histoire des déchets urbains
6285;BARLES S., 2012;Une avant-garde en matière d'écologie urbaine
6286;BARLES S., 2012;Undesirable nature: Animals, resources and urban nuisance in nineteenth century Paris
6287;BARLES S., 2012;The Seine and Parisian Metabolism: Growth of Capital Dependencies in the 19th and 20th Centuries
6288;BARLES S., 2012;Santé et mutations urbaines : des histoires imbriquées
6289;BARLES S., 2012;Préface
6290;PUMAIN D., 2012;Urban systems dynamics, urban growth and scaling laws: the question of ergodicity
6291;PUMAIN D., 2012;Multi-agents System Modelling for Urban Systems : the Series of SIMPOP models
6292;PUMAIN D., 2012;Espace et territoire: vers des concepts scientifiques intégrés
6293;ROSEMBERG M., 2012;Orhan Pamuk' Un Istanbul' U. Bir ?ehrin Kimli?i Nasil Algilanir ?
6294;DUCRUET C., CARVALHO L., ROUSSIN S., 2012;The flight of Icarus? Incheon's transformation from port gateway to global city
6295;MENDIBIL D., 2012;14 chapitres sur 48
6296;PUMAIN D., 2012;Une géographie d'avance, préface à la réédition de l'ouvrage
6297;DUPUY G., 2012;Foreword
6298;DUPUY G., 2012;Préface
6299;ROBIC M.-C., 2012;Du ciel au sol : la vue aérienne et l'idéal de la vue raisonnée. Les photographies aériennes dans la géographie des années 1920 
6300;ROBIC M.-C., 2012;Con o sin adjetivos? Algunas clasificaciones de la geografia y su sentido 
6301;CLERVAL A., FLEURY A., 2012;Urban Policy and Gentrification. A critical analysis using the case of Paris
6302;DOUAY N., 2012;Urbanisme et cyber contestation en Chine - Les internautes, nouveaux acteurs de l'urbanisme ?
6303;BARON M., 2012;Se former à l'Université, entre proximité spatiale et mobilités ... géographiques
6304;TROUDE A., 2012;Les frontières de l'Union européenne et l'Europe du Sud-Est
6305;TROUDE A., 2012;GAZPROM : arme de l'implantation géostratégique de la Russie dans les balkans
6306;TROUDE A., 2012;Patrimoine architectural et routes touristiques en Serbie
6307;BARLES S., COUTARD O., GUILLERME A. , 2012;Controverses autour du réseau d'eau brute de la ville de Paris : quels apports à la réflexion sur la ville post-réseau ?
6308;REUILLON R., REY S., SCHMITT C., LECLAIRE M., PUMAIN D., 2012;Algorithmes évolutionnaires sur grille de calcul pour le calibrage de modèles  géographiques.
6309;RAAD L., 2012;Housing Policy and social change in communist-run municipalities in the suburbs of Paris
6310;MANTRAN M., ANGEON V., BONIN M., DIMAN J.-L., FANCHONE A., 2012;L'agriculture aux Antilles Françaises : vers un retour aux productions destinées au marché local ?
6311;COMMENGES, HADRIEN, 2012;Exploiter le contenu séquentiel et temporel des Enquêtes Ménages Déplacements
6312;COMMENGES, HADRIEN, 2012;R workflow integration by example: studying daily mobility
6313;NG A.K.Y., DUCRUET C., 2012;Port geography bibliometrics (1950-2011): Community structure, background, and diffusion
6314;DUCRUET C., 2012;The polarization of global container flows by interoceanic canals
6315;DUCRUET C., ITOH H., JOLY O., 2012;Material flows and local economic structure: Port-region linkages in Europe, Japan, and the United States
6316;DUCRUET C., MERK O., 2012;Time efficiency at world container ports
6317;DUCRUET C., MERK O., 2012;The worldwide distribution of short sea shipping routes
6318;BEAUGUITTE L., DUCRUET C., 2012;L'analyse des réseaux 'small-world' et 'scale-free' en géographie
6319;BRETAGNOLLE A., GUEROIS M., LE NECHET F., MATHIAN H., PAVARD A., 2012;La ville à l'échelle européenne ? Apports du couplage et de l'expertise de bases de données issues de l'imagerie satellitale
6320;DUPUY G., 2012;La ville des réseaux à l'heure du développement durable
6321;DUPUY G., 2012;Mobilités et obésité : pistes prospectives
6322;DUPUY G., 2012;Réseau, halte, habiter
6323;DUPUY G., 2012;Retour sur le Groupe Réseaux
6324;DUPUY G., 2012;Du maillon manquant au maillon faible, heurs et malheurs de la ligne CGB Pontoise-Poissy
6325;PERSYN N., 2012;Que dit-on sur le foncier aujourd'hui ?
6326;PERSYN N., 2012;The Competition for the Financial Surplus between Municipalities and Multi-municipal Administration in France 
6327;MANGENEY C., LUCAS-GABRIELLI V., VALLEE J., 2012;Regards croisés sur l'information locale et l'accessibilité aux soins
6328;VALLEE J., 2012;Pour une approche multiscalaire de l'accessibilité aux ressources de santé : accessibilité dans le quartier et accessibilité dans la ville
6329;ASCHAN-LEYGONIE C., BAUDET-MICHEL S., BERROIR S., MATHIAN H., VALLEE J., 2012;Mobilités de soins et de travail : quelles logiques de polarisation spatiale ? 
6330;LAPOSTOLLE A., VALLEE J., MASSARI V., CHAUVIN P., 2012;Accessibility of HIV facilities and voluntary HIV testing in the Paris metropolitan area (France) in 2010
6331;VALLEE J., KESTENS Y., 2012;Espaces de mobilité, représentations de l'espace et accessibilité aux équipements : une relation dynamique et réciproque. 
6332;MANCEAU E, JOUANLANNE TH., 2012;Compétitivité et cohésion territoriale deux défis à relever en Seine-Saint-Denis
6333;MANCEAU E. , 2012;Le local comme remède à la crise ? L'exemple des projets urbain intégrés en région Campanie
6334;VILA-VÁZQUEZ, J.-I., 2012;Analyzing Social Transformations Induced by Flagship Projects in European Cities at a Fine Spatial Scale
6335;PÉREZ-INDAVEREA, M.-A., VILA-VÁZQUEZ, J.-I., 2012;Learning from Signature and Media Architectures: Reflections of a Cultural and Economic Scenario
6336;RHEIN C., 2012;Middle strata and their housing positions in metropolitan Paris (1982-2007)
6337;COTTINEAU C., 2012;A simulation tool for assessing the specificity of the evolutionary path of Russian cities
6338;FROUILLOU L., 2012;Higher education planning policies and student segregation between universities in the paris urban region
6339;FROUILLOU L., 2012;Ségrégation universitaire en Île-de-France et parcours étudiants
6340;FROUILLOU L., 2012;Mobilités étudiantes et universités « de proximité » en Île-de-France : démocratisation ou ségrégation universitaire ?
6341;BRETAGNOLLE A., GIRAUD T., MATHIAN H., 2012;Une base de donnée harmonisée pour appréhender l'urbanisation des Etats-Unis, de 1790 à nos jours
6342;BRETAGNOLLE A., MATHIAN H., VAN HAMME A., 2012;Géovisualisation et cartographie dynamique : animer les villes
6343;BERROIR S., FLEURY A., GUEROIS M., 2012;Pratiques et représentations de la ville au prisme des mobilités professionnelles internationales
6344;DELAGE M., FLEURY A., 2012;Commerces et centralités touristiques à Paris
6345;FLEURY A., FROMENT-MEURICE M., 2012;Embellir et dissuader : les politiques d'espaces publics à Paris
6346;ROSEMBERG M., 2012;Une exploration géographique de la ville avec la littérature. Réflexions méthodologiques
6347;VILA-VÁZQUEZ, J.-I., 2012;Estudiando la viabilidad de los flagship projects urbanos: modelos de gobernanza en ciudades europeas
6348;ROSEMBERG M., 2012;Géographie et littérature
6349;DREVELLE M., 2012;Un BHNS pas comme les autres : le Car à Haut Niveau de Service
6350;BEZIAT A., DREVELLE M., DESJARDINS X., HEITZ A., GOLDBERG J., LAROSE F., 2012;L'accessibilité aux emplois par le chemin de fer en Ile-de-France de 1975 à demain : vers une réduction des écarts sociaux ? 
6351;BRETAGNOLLE A., PUMAIN D., GLISSE B., VACCHIANI-MARCUZZO C., 2012;Deux types de systèmes de villes identifiés par la modélisation multi-agents
6352;BARLES S., 2012;Déchets urbains et métabolisme territorial
6353;BARLES S., 2012;Urban metabolism: methodological aspects and main flows
6354;BARLES S., 2012;Urban metabolism, material flow analysis, and dematerialization: Some key issues
6355;BARLES S., 2012;Métabolisme urbain et modélisation : quels enjeux ? 
6356;DUCRUET C., ITOH H., JOLY O., 2012;A global perspective on port-region linkages
6357;DUCRUET C., 2012;Port activities and local socio-economic structure
6358;DUCRUET C., 2012;Port activities and regional development : a global and comparative analysis
6359;DUCRUET C., 2012;Ports et hinterlands en Europe : mise en perspective de l'axe Seine
6360;BRETAGNOLLE A.,GUÉROIS M., LE NECHET F., MATHIAN H., PAVARD A., 2012;Urban databases in Europe :harmonization and validation issues 
6362;VERDIER N., 2012;Rendre présent le futur, Les enjeux des représentations planimétriques au XVIIIe siècle
6363;VERDIER N., 2012;Glais-Bizoin, le timbre et la péréquation tarifaire de 1848
6364;VERDIER N., 2012;Format, reliure et impression. Le cas des livres à carte français entre 1650 et 1800
6365;VERDIER N., 2012;La carte dans la Presse française au XVIIIe siècle
6366;VERDIER N., 2012;Entre publicité, débat scientifique et vulgarisation : Jean-Baptiste d'Anville dans le Mercure...
6367;VERDIER N., 2012;Géographie française et traduction : quelque cas du XVIIIe à nos jours
6368;VERDIER N., OZOUF-MARIGNIER M.-V., 2012;Le Modèle Français : les mutations de la trame administrative : 1789-2010
6369;BILLEN G., GARNIER J., BARLES S. (ED), 2012;<em>History of the urban environmental imprint</em>
6370;RIVIÈRE D., 2012;<em>Rome</em>
6371;MANTRAN M., 2012;<em>Contribution du lien social à la capacité de réponse des agriculteurs face aux chocs : exemple de la Guadeloupe</em>
6372;LE BOZEC A., BARLES S., BUCLET N., KECK G., 2012;<em>Que faire des déchets ménagers ?</em>
6373;TROUDE A., 2012;<em>Les Balkans, un éclatement programmé</em>
6374;PRÉVOT M.,  DOUAY N. (dir), 2012;<em>L'activisme urbain : art, architecture et espace public</em>
6375;RONDET C., ROUSTIT C., PARIZOT I., VALLEE J., CHAUVIN P., 2012;Intégration sociale et dépression
6376;TROUDE A., 2012;Rôle politique et projets économiques français à travers l'intervention de l'Armée d'Orient à Salonique en 1917
6377;TROUDE A., 2012;Alexandre I° : l'amitié traditionnelle franco-serbe entre 1815 et 1834
6378;BRETAGNOLLE A., 2012;<em>Formaliser la structure et la dynamique d'un réseau historique : les routes de poste en France (1632-1833)</em>
6379;BRETAGNOLLE A., 2012;<em>La ville industrielle </em>
6380;BRETAGNOLLE A., 2012;<em>Des archives historiques aux modélisations spatio-temporelles </em>
6381;BRETAGNOLLE A., GIRAUD T., VERDIER N. , 2012;<em>Le rôle du réseau postal dans l'accessibilité des lieux de la France pré-industrielle</em>
6382;TROUDE A., 2012;L'instrumentalisation des héros dans les guerres balkaniques
6383;BOGNON S., BARLES S. , 2012;<em>Nourrir les villes du 21ème siècle : De nouvelles proximités alimentaires</em>
6384;GIRAULT J.A., BOURGUIGNON J.P., DE MARSILY G., ENCRENAZ T., JOUSSAUME S. PUMAIN D., 2012;<em>Risques potentiels de l'exploration et de l'exploitation des hydrocarbures non conventionnels en Ile-de-France</em>
6385;DUCRUET C., JOLY O., LE CAM M., 2012;<em>Maritime flows</em>
6388;AVILA DE SOUSA A, COTTINEAU C, DIETERSDORFER L, FERNANDEZ AGUEDA B, GONUL D, HOEMKE M, JAROSZEWSKA E, LELLA I, MYKHNENKO V, PRADA TRIGO J, SCHMITZ S, VOLKMANN A, WIECHMANN T, WOLFF M., 2012;<em>Mapping urban shrinkage in Europe </em>
6389;BRETAGNOLLE A., GUEROIS M., MATHIAN H., GIRAUD T., AVERLAN G., 2012;<em>Naming U.M.Z.: a database now operational for urban studies. Rapport final du projet ESPON Database 2013.</em>
6392;ROSEMBERG M., 2012;<em>HDR - Le géographique et le littéraire. Contribution de la littérature aux savoirs de la géographie (Inédit)</em>
6393;VERDIER N., 2012;<em>Eléments de Géohistoire. HDR</em>
6513;GRIVAUD A., BUHNIK S. , 2012;Le projet métropolitain de Hashimoto T?ru, nouveau maire d'?saka
6514;VILA-VÁZQUEZ J.-I., 2012;Estudiando la viabilidad de los 'flagship projects' urbanos: modelos de gobernanza en ciudades europeas
6515;BUHNIK S. , 2012;Les conséquences de la décroissance urbaine au prisme de l'accès aux services de proximité : l'exemple des 'réfugiés du shopping' dans l'aire métropolitaine d'Osaka  
6516;BUHNIK S. , 2012;Shrinking cities' and 'food deserts' in Japan
6517;BUHNIK S. , 2012;<em>Chapter 2. Urban shrinkage patterns in Japan : the case of the Osaka Metropolitan Area </em>
6518;BARON M., 2012;Regards géographiques sur les architectures des universités franciliennes. Centralités malmenées, polycentrisme inachevé, quels ancrages territoriaux ?
6519;VALLEE J., CHAUVIN P. , 2012;Investigating the effects of medical density on health-seeking behaviours using a multiscale approach to residential and activity spaces. Results from a prospective cohort study in the Paris metropolitan area, France.
6520;QUEVA C., 2012;Entre intégration et patrimonialisation (trans-)frontalières : les dynamiques territoriales de l'ancienne frontière interallemande
6521;MIRAMONTES-CARBALLADA A., ROYÉ D., VILA-VÁZQUEZ J.-I. (dir), 2012;<em>Las ciudades y el sistema urbano. Reflexiones en tiempos de crisis</em>
6522;DESJARDINS X., METTETAL L., 2012;L'habiter périurbain face à l'enjeu énergétique 
6523;GIRAUT F., VACCHIANI-MARCUZZO C., 2012;Mapping Places and People in a Settler Society
6524;BERROIR S., CATTAN N., GUEROIS M., PAULUS F., VACCHIANI-MARCUZZO C., 2012;Les systèmes urbains français
6525;BARON M., 2012;<em>Habilitation à diriger des Recherches : Mises en espace des sociétés de la connaissance par les universités et les mobilités étudiante (HDR)</em>
6526;BOULIER J., 2012;Comprendre les pressions sur l'environnement à travers des modèles de potentiels anisotropes ?
6527;BRUN G., 2012;Création de légendes cartographiques à partir d'informations extraites d'un texte
6528;BRUN G., 2012;Une fiche descriptive pour l'analyse des relations sémantiques entre textes et cartes
6529;MAULAT J., 2012;Développement du transport ferroviaire périurbain et mutation des référentiels de l'action publique : vers une cohérence renouvelée entre réseau ferré et territoire ?
6530;ZANIN C., LAMBERT N., 2012;La multireprésentation cartographique. Exemple de l'Atlas Interactif des régions européennes
6531;BARLES S., GUILLERME A. , 2012;Ville et santé de la veille de la Révolution française aux premières interventions techniques et spatiales du XIXe siècle
6532;MAULAT J., 2012;The corridor contracts: a pragmatic tool to coordinate urban planning and railway transport projectcs 
6533;DREVELLE M., 2012;Les effets de la mise en service des TCSP urbains sur l'organisation du transport interurbain par autocar : quel impact pour l'accessibilité des territoires d'entre-deux ?
6534;DESJARDINS X., CHALONGE L., 2012;Enfins libres ? A la recherche des proximités dans l'urbain dispersé
6535;BARLES S., 2012;Fumiers de ville, engrais humains et engrais animalisés à Paris au XIXe siècle
6536;QUEVA C., 2012;Les espaces de basse densité : essai de définition
6537;RAAD L., 2012;<em>Stratégies résidentielles et ancrage territorial des couches moyennes en banlieue rouge : le rôle du contexte local. </em>
6538;QUEVA C., 2012;Les jeux temporels dans les projets de territoires:les exemples des pays du Libournais et du Périgord noir (Aquitaine)
6539;OLMEDO E., 2012;Cartographier les interstices de la ville 
6540;OLMEDO E., 2012;Hendrik Sturm, l'infatigable marcheur-sculpteur d'espaces
6541;OLMEDO E., 2012;La marche, les artistes et la ville : la production des savoirs hodologiques
6542;SCHMOLL C., CAPONIO T., 2012;Deuxièmes générations et transnationalisme. Une lecture des travaux italiens
6543;SCHMOLL C., BERNARDIE-TAHIR N., 2012;La voix des chercheur(-e)s et la parole des migrant(-e)s. Ce que l'expérience du terrain maltais nous enseigne
6544;SCHMOLL C., 2012;Attentes et suspension : le projet migratoire des femmes somaliennes immobilisées à Malte
6545;SCHMOLL C., DIRENBERGER L., 2012;Le tournant spatial dans les études de genre
6546;SCHMOLL C., 2012;Circulations transnationales et dynamiques spatiales des migrations en Europe du Sud. Une perspective de genre
6547;SCHMOLL C., 2012;Sexualiser la marge
6548;FOL S., 2013;La politique de la ville, un outil pour luter contre la ségrégation ?
6549;LE BIGOT B., FLEURY A., 2013;L'adepte du couchsurfing, un néo-routard urbain ?
6550;LE BIGOT B., FLEURY A., 2013;L'adepte du couchsurfing, un néo-routard urbain?
6551;QUEVA C., 2013;Une rencontre avec Denis Retaillé, Les Lieux de la mondialisation
6552;FOURNET-GUERIN C., VACCHIANI-MARCUZZO C., 2013;Vers de nouvelles interactions entre les Suds? L'exemple des liens entre Madagascar et l'Afrique du Sud
6553;FOL S., LEHMAN-FRISCH S., MORANGE M., 2013;Introduction
6554;BERROIR S., CATTAN N., DECROLY J.-M., FLEURY A., GUEROIS M., 2013;Paris et Londres dans les pratiques de mobilité temporaire des Européens
