id;titre;auteurs;year;typepubli;equipe;thematic;axe
5208;Is national multiculturalism still the issue? Rescaling patterns of belonging in the Mediterranean;SCHMOLLC,SEMIG;2012;communication;PARIS;;hors_axe
5209;La Seine, fleuve parisien ? Empreintes, emprises et dépendances, XVIIIe-XXe siècles;BARLESS;2012;communication;CRIA;;4_reseau_territoires
5210;Concilier efficacité économique et justice sociale, une aporie ? L'exemple des politiques publiques menées à Paris depuis 2001;CLERVALA,FLEURYA;2012;communication;PARIS;;
5211;Innovative activities and economic trajectories of cities (USA, France);PAULUSF,VACCHIANI-MARCUZZOC;2012;communication;PARIS;;2_dynamique_reseau
5212;Les variables visuelles de la cartographie dynamique : analyse, critique et propositions;ZANINC,BENREBAHM;2012;actes_congres_national;PARIS;;
5213;Politique de cohésion et  crise de la solidarité inter-régionale : l'Italie;RIVIÈRED;2012;conf_invite;PARIS;;1_recompo_territoire_metro
5214;Nitrogen and the city, France, 19th-21th century;BARLESS;2012;conf_invite;CRIA;;
5216;<em>Activismes urbains: engagement et militantisme</em>;DOUAYN,PREVOTM;2012;dir_ouvrage;CRIA;1_europe_mondialisation;4_reseau_territoires
5217;<em>La montagne</em>;BESSEJ-M;2012;dir_ouvrage;EHGO;;5_image_espace
5218;<em>L'Europe</em>;RIVIÈRED;2012;manuel;PARIS;;5b_savoir_espace_situation
5219;La mondialisation: processus, acteurs et territoires;VACCHIANI-MARCUZZOC;2012;manuel;PARIS;;
5220;L'Italie;RIVIÈRED;2012;manuel;PARIS;;1_recompo_territoire_metro
5221;<em>Le voyage, le témoignage, l'amitié : Abraham Ortelius et Georg Hoefnagel en Italie (hiver 1577-1578)</em>;BESSEJ-M;2012;ouvrage;EHGO;;6_geo_pratiques
5222;<em>ESPON DATABASE 2013 - FINAL REPORT</em>;GRASLANDC;2012;rapport;PARIS;;hors_axe
5244;Towards New Metrics for Urban Road Networks. Some Preliminary Evidence from Agent-Based Simulations;BANOSA,GENRE-GRANDPIERREC;2012;chapitre;PARIS;;3_nouvelle_modelisation,4_reseau_territoires
5444;Cartographie des flux et production d'indices sur l'intensité des échanges;BAHOKENF;2012;communication;PARIS;;
5457;The socio-spatial dimensions of urban shrinkage;FOLS;2012;chapitre;CRIA;;4_reseau_territoires
5458;Developing liner service networks in container shipping;DUCRUETC,NOTTEBOOMT;2012;chapitre;PARIS;1_europe_mondialisation;2_dynamique_reseau
5459;Uncovering the Real Potential for Air-Rail Substitution - An Exploratory Analysis Energy;GIVONIM,DOBRUSZKESF,LUGOI;2012;chapitre;PARIS;1_europe_mondialisation;2_dynamique_reseau
5460;Schématisations de l'espace et formes de l'écriture géographique au tournant des 16e et 17e siècles en Europe;BESSEJ-M;2012;communication;EHGO;;6_geo_pratiques
5461;Mise en oeuvre et diffusion du modèle de l'atlas dans les cultures scientifiques et artistiques modernes en Europe;BESSEJ-M;2012;communication;EHGO;;6_geo_pratiques
5463;Longer l'espace: le paysage et l'expérience de la marche;BESSEJ-M;2012;conf_invite;EHGO;;
5464;Early modern geographical atlases: graphic spaces and cognitive practices;BESSEJ-M;2012;conf_invite;EHGO;;
5506;Urban spatial structure, daily mobility and energy consumption: a study of 34 European cities;LENECHETF;2012;article_revue;PARIS;;2_dynamique_reseau,3_nouvelle_modelisation
5507;The worldwide maritime network of container shipping: spatial structure and regional dynamics;DUCRUETC,NOTTEBOOMT;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
5508;Du global au local : les nouveaux gérants des terminaux portuaires algériens;MOHAMED-CHERIFFZ,DUCRUETC;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau,4_reseau_territoires
5511;Inequalities in cervical cancer screening for women with or without a gynaecological follow-up, in Paris, France;GRILLOF,VALLEEJ,CHAUVINP;2012;article_revue;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
5513;Vers une cartographie sémantique des modèles urbains : des individus aux systèmes de villes;BANOSA,SANDERSL;2012;chapitre;PARIS;;3_nouvelle_modelisation
5518;La métropolisation de la France: entre fragmentation  et hypermobilité.;CATTANN;2012;media;PARIS;;
5512;Visibilité de populations en position de minorité et hybridations territoriales;CATTANN;2012;communication;PARIS;;
5543;Pratiques et représentations des couches moyennes en banlieue rouge : stratégies résidentielles et ancrage territorial;RAADL;2012;article_revue;CRIA;3_temporalite_geo;1_recompo_territoire_metro
5547;Politiques urbaines et contexte local en banlieue rouge : des freins à la gentrification?;RAADL;2012;divers;CRIA;3_temporalite_geo;
5548;Aéroport : non-lieu ou point d'ancrage du Monde ?;FRETIGNYJ-B;2012;chapitre;PARIS;1_europe_mondialisation;1_recompo_territoire_metro
5550;Révéler les structures urbaines à partir des communications mobiles;FEN-CHONGJ,MATHIANH,BOULIERJ,OLTEANUA-M;2012;communication;PARIS;;
5552;Revealing foreign visitors mobility practices in Paris using mobile phone data;FEN-CHONGJ,LOBBEQ,BILCKEJ;2012;communication;PARIS;;
5559;Network effects in Schelling's model of segregation: new evidence from agent-based simulation ;BANOSA;2012;article_revue;PARIS;;3_nouvelle_modelisation
5564;Guided and automated exploration for the calibration of an agent based model;REYS,SCHMITTC;2012;communication;PARIS;;2_dynamique_reseau
5568;La représentation des suburbs dans les séries télévisées états-uniennes, communication personnelle sur le thème « habiter l'inhabitable »;PLEVENB;2012;proceedings;EHGO;;
5589;<em>La rénovation urbaine, une opportunité de réduire les inégalités socio-spatiales d'être impliqué dans un accidents dans les espaces publics</em> ;GODILLONS;2012;travail_univ;CRIA;;4_reseau_territoires
5595;La financiarisation et le barbecue à Los Angeles. Le tournant financier de la production du suburbain;LEGOIXR;2012;article_revue;PARIS;;1_recompo_territoire_metro
5596;Des villes vivables ?;LEGOIXR,PIERMAYJ-L;2012;chapitre;PARIS;;1_recompo_territoire_metro
5594;Gated Communities and House Prices: Suburban Change in Southern California, 1980-2008;LEGOIXR,VESSELINOVE;2012;article_revue;PARIS;;1_recompo_territoire_metro
5615;Population Density Effect on Mobility Characteristics in France;MINSTERC,HUBER;2012;poster;CRIA;;
5626;Urban spaces of creativity. The spatialization of Contemporary art places and networks in Paris and Berlin;BOICHOTC;2012;poster;PARIS;;
5629;The Implementation of Rail-Oriented Development in Suburban Areas : from Theory to Practice. The Case of Toulouse's West Railway Corridor;MAULATJ;2012;communication;CRIA;;4_reseau_territoires
5640;<em>L'usage de l'espace aéroportuaire par les passagers à Paris Charles-de-Gaulle</em>;FRETIGNYJ-B;2012;rapport;PARIS;;
5655;La circulation des savoirs géographiques en Europe à la fin du XVIe siècle : lieux, chemins, objets;BESSEJ-M;2012;communication;EHGO;;6_geo_pratiques
5658;<em>Quelles métropoles en Europe ? Analyse comparée, synthèse</em>;HALBERTL,CICILLEP,PUMAIND,ROZENBLATC;2012;rapport;PARIS;;hors_axe
5659;Un automate cellulaire pour expérimenter les effets de la proximité dans le processus d'étalement urbain : le modèle Raumulus;MORENOD,BADARIOTTID,BANOSA;2012;article_revue;PARIS;;3_nouvelle_modelisation,4_reseau_territoires
5664;Identifying builg environmental patterns using cluster analysis and GIS: Relationships with walking, cycling and body mass index in French adults;CHARREIREHWEBERC,CHAIXB,SALZEP,CASEYR,BANOSA,BADARIOTTID,KESSE-GUYOTE,HERCBERGS,SIMONC,OPPERTJ-M;2012;article_revue;PARIS;1_europe_mondialisation;3_nouvelle_modelisation
5668;Journée autochtone;COLLIGNONB;2012;conf_invite;EHGO;;
5672;L'écrit des géographes : entre contraintes de réalisme et exigences savantes;ORAINO;2012;conf_invite;EHGO;;
5678;La fabrique d'un livre : réponse et discussion;ORAINO;2012;article_revue;EHGO;;6_geo_pratiques
6242;Les Quarante Glorieuses de l'Espace Géographique. ;PUMAIND,ROBICM-C;2012;article_revue;PARIS;;6_geo_pratiques
6243;Quelles métropoles en Europe ? Analyse comparée, synthèse.;HALBERTL,CICILLEP,PUMAIND,ROZENBLATC;2012;article_revue;PARIS;;2_dynamique_reseau
6244;History of the urban environmental imprint : Introduction to a multidisciplinary approach to the long-term relationships between western cities and their hinterland;BILLENG,GARNIERJ,BARLESS;2012;article_revue;CRIA;;4_reseau_territoires
6245;Grain, meat and vegetables to feed Paris: where did and do they come from? Localising Paris food supply areas from the eighteenth to the twenty-first century;BILLENG,GARNIERJ,BARLESS;2012;article_revue;CRIA;;4_reseau_territoires
6246;New port development and global city making: Emergence of the Shanghai-Yangshan multilayered gateway hub;WANGC,DUCRUETC;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
6247;Ports et routes maritimes dans le monde (1890-1925);DUCRUETC;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
6248;Peripheral challenge in container port system: A case study of Pearl River Delta;WANGC,WANGJ,DUCRUETC;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
6249;Distribución de las rutas del transporte marítimo de corta distancia;DUCRUETC,MERKO;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
6250;Les villes moyennes françaises et leur rôle en matière d'aménagement du territoire : vers de nouvelles perspectives ?;SANTAMARIAF;2012;article_revue;CRIA;;3_nouvelle_modelisation
6251;Une théorie géographique pour la loi de Zipf;PUMAIND;2012;article_revue;PARIS;;3_nouvelle_modelisation
6252;A new database for the cities of Europe? Urban Morphological Zones (CLC2000) confronted to three national databases of urban agglomerations (Denmark, France Sweden);GUÉROISM,BRETAGNOLLEA,GIRAUDT,MATHIANH;2012;article_revue;PARIS;;2_dynamique_reseau
6253;Les métropoles face aux dynamiques de ségrégation et de fragmentation;CARYP,FOLS;2012;article_revue;CRIA;;1_recompo_territoire_metro,4_reseau_territoires
6254;La question métropolitaine en Italie : entre compétition et risque de « dé-cohésion ».;RIVIÈRED;2012;article_revue;PARIS;;1_recompo_territoire_metro
6255;Structure des navettes domicile-travail et polarités secondaires autour de Montpellier;DREVELLEM;2012;article_revue;CRIA;;1_recompo_territoire_metro
6257;L'influence croisée des espaces de résidence  et de mobilité sur la santé. L'exemple des recours aux soins de prévention et de la dépression dans l'agglomération parisienne.;VALLEEJ;2012;article_revue;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
6258;Urban biodiversity and social inequalities in built-up cities, new evidences, next questions, the example of Paris, France;COHENM,BAUDOINR,PALIBRKM,PERSYNN,RHEINC;2012;article_revue;PARIS;;1_recompo_territoire_metro
6259;Un système intermédiaire, Les trajectoires des villes russes entre dynamiques générales et histoires spécifiques;COTTINEAUC;2012;article_revue;PARIS;;2_dynamique_reseau
6260;Pour une géographie sociale des pays émergents;FLEURYA,HOUSSAY-HOLZSCHUHM;2012;article_revue;PARIS;;1_recompo_territoire_metro
6261;Espaces publics urbains et concertation;FLEURYA,TONNELATS;2012;article_revue;PARIS;;1_recompo_territoire_metro
6262;Les inégalités socio-spatiales progressent-elles en Île-de-France ?;FLEURYA,FRANÇOISJ-C,MATHIANH,RIBARDIEREA,SAINT-JULIENT;2012;article_revue;PARIS;;1_recompo_territoire_metro
6263;L'activisme urbain montréalais : des luttes urbaines à la revendication d'une ville durable et collaborative;DOUAYN;2012;article_revue;CRIA;;4_reseau_territoires
6264;Évolution des schémas, permanence des tracés : la planification de la région parisienne au prisme des réseaux ferroviaires ;DESJARDINSX,DOUAYN,GAGNIÈREV;2012;article_revue;CRIA;;4_reseau_territoires
6265;Urbanisme 2.0, de la contestation à la participation;DOUAYN;2012;article_revue;CRIA;;4_reseau_territoires
6266;Construction et re-construction d'information géographique;MATHIANH,SANDERSLED;2012;article_revue;PARIS;;3_nouvelle_modelisation
6267;Regards croisés de géographes, économistes et archéologues sur la hiérarchie des systèmes de peuplement : de l'empirie aux systèmes complexes;SANDERSL;2012;article_revue;PARIS;;3_nouvelle_modelisation
6268;Intégration de concepts de géographie et d'archéologie spatiale pour l'étude des systèmes de peuplement;FAVORYF,NUNINGERL,SANDERSL;2012;article_revue;PARIS;;3_nouvelle_modelisation
6269;Visualisation et analyse du réseau maritime mondial depuis le XVIIIe siècle;DUCRUETC;2012;divers;PARIS;1_europe_mondialisation;2_dynamique_reseau
6270;Quels déplacements dans la ville de demain ?;DUPUYG;2012;divers;CRIA;;4_reseau_territoires
6271;La gentrification au prisme de l'action sur les espaces publics ;FLEURYA;2012;divers;PARIS;;1_recompo_territoire_metro
6272;Produire des espaces publics abordables ?;FLEURYA;2012;divers;PARIS;;1_recompo_territoire_metro
6273;Shrinking regioni, Shrinking città e coesione in Europa;RIVIÈRED;2012;article;PARIS;1_europe_mondialisation;
6274;L'Italie et la question des disparités régionales;RIVIÈRED;2012;article;PARIS;1_europe_mondialisation;
6275;Compte-rendu de la conférence  de D Rivière, Italie : Quel impact de la politique de cohésion sur les disparités territoriales ? ;THOINM,RIVIÈRED;2012;article;PARIS;;1_recompo_territoire_metro
6276;Les Pays-Bas : toujours un modèle ?;DESJARDINSX,PERSYNN;2012;article;CRIA;;4_reseau_territoires
6277;La déstabilisation des Balkans;TROUDEA;2012;article;PARIS;;4_reseau_territoires
6278;Le Kosovo : un quasi-Etat dans la nouvelle guerre froide;TROUDEA;2012;article;PARIS;;4_reseau_territoires
6279;Les espaces publics/privés de Berlin ;FLEURYA;2012;article;PARIS;;1_recompo_territoire_metro
6280;Circonscription;VERDIERN;2012;divers;EHGO;;6_geo_pratiques
6281;Cartes anciennes, sources et usages;VERDIERN;2012;divers;EHGO;;5_image_espace
6282;The Wukan's protests: just-in-time identification media events ;SEVEROM,GIRAUDT,DOUAYN;2012;divers;CRIA;1_europe_mondialisation;4_reseau_territoires
6283;La révolte de Wukan vue par les médias internationaux;SEVEROM,GIRAUDT,DOUAYN;2012;divers;CRIA;1_europe_mondialisation;4_reseau_territoires
6284;Une histoire des déchets urbains;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6285;Une avant-garde en matière d'écologie urbaine;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6286;Undesirable nature: Animals, resources and urban nuisance in nineteenth century Paris;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6287;The Seine and Parisian Metabolism: Growth of Capital Dependencies in the 19th and 20th Centuries;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6288;Santé et mutations urbaines : des histoires imbriquées;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6289;Préface;BARLESS;2012;chapitre;CRIA;;4_reseau_territoires
6290;Urban systems dynamics, urban growth and scaling laws: the question of ergodicity;PUMAIND;2012;chapitre;PARIS;;3_nouvelle_modelisation
6291;Multi-agents System Modelling for Urban Systems : the Series of SIMPOP models;PUMAIND;2012;chapitre;PARIS;;3_nouvelle_modelisation
6292;Espace et territoire: vers des concepts scientifiques intégrés;PUMAIND;2012;chapitre;PARIS;;6_geo_pratiques
6293;Orhan Pamuk' Un Istanbul' U. Bir ?ehrin Kimli?i Nasil Algilanir ?;ROSEMBERGM;2012;chapitre;EHGO;;5_image_espace
6294;The flight of Icarus? Incheon's transformation from port gateway to global city;DUCRUETC,CARVALHOL,ROUSSINS;2012;chapitre;PARIS;1_europe_mondialisation;4_reseau_territoires
6295;14 chapitres sur 48;MENDIBILD;2012;chapitre;EHGO;;6_geo_pratiques
6296;Une géographie d'avance, préface à la réédition de l'ouvrage;PUMAIND;2012;chapitre;PARIS;;6_geo_pratiques
6297;Foreword;DUPUYG;2012;chapitre;CRIA;;4_reseau_territoires
6298;Préface;DUPUYG;2012;chapitre;CRIA;;4_reseau_territoires
6299;Du ciel au sol : la vue aérienne et l'idéal de la vue raisonnée. Les photographies aériennes dans la géographie des années 1920 ;ROBICM-C;2012;chapitre;EHGO;;5_image_espace
6300;Con o sin adjetivos? Algunas clasificaciones de la geografia y su sentido ;ROBICM-C;2012;chapitre;EHGO;;6_geo_pratiques
6301;Urban Policy and Gentrification. A critical analysis using the case of Paris;CLERVALA,FLEURYA;2012;chapitre;PARIS;;1_recompo_territoire_metro
6302;Urbanisme et cyber contestation en Chine - Les internautes, nouveaux acteurs de l'urbanisme ?;DOUAYN;2012;chapitre;CRIA;1_europe_mondialisation;4_reseau_territoires
6303;Se former à l'Université, entre proximité spatiale et mobilités ... géographiques;BARONM;2012;chapitre;PARIS;;4_reseau_territoires
6304;Les frontières de l'Union européenne et l'Europe du Sud-Est;TROUDEA;2012;communication;PARIS;;4_reseau_territoires
6305;GAZPROM : arme de l'implantation géostratégique de la Russie dans les balkans;TROUDEA;2012;communication;PARIS;;3_nouvelle_modelisation
6306;Patrimoine architectural et routes touristiques en Serbie;TROUDEA;2012;communication;PARIS;;5_image_espace
6307;Controverses autour du réseau d'eau brute de la ville de Paris : quels apports à la réflexion sur la ville post-réseau ?;BARLESS,COUTARDO,GUILLERMEA;2012;communication;CRIA;;4_reseau_territoires
6308;Algorithmes évolutionnaires sur grille de calcul pour le calibrage de modèles  géographiques.;REUILLONR,REYS,SCHMITTC,LECLAIREM,PUMAIND;2012;communication;PARIS;;3_nouvelle_modelisation
6309;Housing Policy and social change in communist-run municipalities in the suburbs of Paris;RAADL;2012;communication;CRIA;;4_reseau_territoires
6310;L'agriculture aux Antilles Françaises : vers un retour aux productions destinées au marché local ?;MANTRANM,ANGEONV,BONINM,DIMANJ-L,FANCHONEA;2012;poster;PARIS;;3_nouvelle_modelisation
6311;Exploiter le contenu séquentiel et temporel des Enquêtes Ménages Déplacements;COMMENGESH;2012;communication;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
6312;R workflow integration by example: studying daily mobility;COMMENGESH;2012;communication;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
6313;Port geography bibliometrics (1950-2011): Community structure, background, and diffusion;NGAKY,DUCRUETC;2012;communication;PARIS;1_europe_mondialisation;6_geo_pratiques
6314;The polarization of global container flows by interoceanic canals;DUCRUETC;2012;communication;PARIS;1_europe_mondialisation;2_dynamique_reseau
6315;Material flows and local economic structure: Port-region linkages in Europe, Japan, and the United States;DUCRUETC,ITOHH,JOLYO;2012;communication;PARIS;1_europe_mondialisation;4_reseau_territoires
6316;Time efficiency at world container ports;DUCRUETC,MERKO;2012;communication;PARIS;1_europe_mondialisation;2_dynamique_reseau
6317;The worldwide distribution of short sea shipping routes;DUCRUETC,MERKO;2012;communication;PARIS;1_europe_mondialisation;2_dynamique_reseau
6318;L'analyse des réseaux 'small-world' et 'scale-free' en géographie;BEAUGUITTEL,DUCRUETC;2012;communication;PARIS;1_europe_mondialisation;6_geo_pratiques
6319;La ville à l'échelle européenne ? Apports du couplage et de l'expertise de bases de données issues de l'imagerie satellitale;BRETAGNOLLEA,GUEROISM,LENECHETF,MATHIANH,PAVARDA;2012;communication;PARIS;;2_dynamique_reseau
6320;La ville des réseaux à l'heure du développement durable;DUPUYG;2012;communication;CRIA;;1_recompo_territoire_metro
6321;Mobilités et obésité : pistes prospectives;DUPUYG;2012;communication;CRIA;;1_recompo_territoire_metro
6322;Réseau, halte, habiter;DUPUYG;2012;communication;CRIA;;4_reseau_territoires
6323;Retour sur le Groupe Réseaux;DUPUYG;2012;communication;CRIA;;6_geo_pratiques
6324;Du maillon manquant au maillon faible, heurs et malheurs de la ligne CGB Pontoise-Poissy;DUPUYG;2012;communication;CRIA;;4_reseau_territoires
6325;Que dit-on sur le foncier aujourd'hui ?;PERSYNN;2012;communication;CRIA;;4_reseau_territoires
6326;The Competition for the Financial Surplus between Municipalities and Multi-municipal Administration in France ;PERSYNN;2012;communication;CRIA;;4_reseau_territoires
6327;Regards croisés sur l'information locale et l'accessibilité aux soins;MANGENEYC,LUCAS-GABRIELLIV,VALLEEJ;2012;communication;PARIS;;1_recompo_territoire_metro
6328;Pour une approche multiscalaire de l'accessibilité aux ressources de santé : accessibilité dans le quartier et accessibilité dans la ville;VALLEEJ;2012;communication;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
6329;Mobilités de soins et de travail : quelles logiques de polarisation spatiale ? ;ASCHAN-LEYGONIEC,BAUDET-MICHELS,BERROIRS,MATHIANH,VALLEEJ;2012;communication;PARIS;;1_recompo_territoire_metro
6330;Accessibility of HIV facilities and voluntary HIV testing in the Paris metropolitan area (France) in 2010;LAPOSTOLLEA,VALLEEJ,MASSARIV,CHAUVINP;2012;communication;PARIS;;1_recompo_territoire_metro
6331;Espaces de mobilité, représentations de l'espace et accessibilité aux équipements : une relation dynamique et réciproque. ;VALLEEJ,KESTENSY;2012;communication;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
6332;Compétitivité et cohésion territoriale deux défis à relever en Seine-Saint-Denis;MANCEAUE,JOUANLANNETH;2012;communication;PARIS;1_europe_mondialisation;
6333;Le local comme remède à la crise ? L'exemple des projets urbain intégrés en région Campanie;MANCEAUE;2012;communication;PARIS;1_europe_mondialisation;
6334;Analyzing Social Transformations Induced by Flagship Projects in European Cities at a Fine Spatial Scale;VILA-VÁZQUEZJ-I;2012;communication;PARIS;;1_recompo_territoire_metro
6335;Learning from Signature and Media Architectures: Reflections of a Cultural and Economic Scenario;PÉREZ-INDAVEREA,VILA-VÁZQUEZJ-I;2012;communication;PARIS;;2_dynamique_reseau
6336;Middle strata and their housing positions in metropolitan Paris (1982-2007);RHEINC;2012;communication;PARIS;;1_recompo_territoire_metro
6337;A simulation tool for assessing the specificity of the evolutionary path of Russian cities;COTTINEAUC;2012;communication;PARIS;;2_dynamique_reseau
6338;Higher education planning policies and student segregation between universities in the paris urban region;FROUILLOUL;2012;communication;CRIA;;4_reseau_territoires
6339;Ségrégation universitaire en Île-de-France et parcours étudiants;FROUILLOUL;2012;communication;CRIA;;4_reseau_territoires
6340;Mobilités étudiantes et universités « de proximité » en Île-de-France : démocratisation ou ségrégation universitaire ?;FROUILLOUL;2012;communication;CRIA;;4_reseau_territoires
6341;Une base de donnée harmonisée pour appréhender l'urbanisation des Etats-Unis, de 1790 à nos jours;BRETAGNOLLEA,GIRAUDT,MATHIANH;2012;communication;PARIS;;2_dynamique_reseau
6342;Géovisualisation et cartographie dynamique : animer les villes;BRETAGNOLLEA,MATHIANH,VANHAMMEA;2012;communication;PARIS;;2_dynamique_reseau
6343;Pratiques et représentations de la ville au prisme des mobilités professionnelles internationales;BERROIRS,FLEURYA,GUEROISM;2012;communication;PARIS;1_europe_mondialisation;1_recompo_territoire_metro,2_dynamique_reseau
6344;Commerces et centralités touristiques à Paris;DELAGEM,FLEURYA;2012;communication;PARIS;;1_recompo_territoire_metro
6345;Embellir et dissuader : les politiques d'espaces publics à Paris;FLEURYA,FROMENT-MEURICEM;2012;communication;PARIS;;1_recompo_territoire_metro
6346;Une exploration géographique de la ville avec la littérature. Réflexions méthodologiques;ROSEMBERGM;2012;proceedings;EHGO;;5_image_espace
6347;Estudiando la viabilidad de los flagship projects urbanos: modelos de gobernanza en ciudades europeas;VILA-VÁZQUEZJ-I;2012;proceedings;PARIS;;1_recompo_territoire_metro
6348;Géographie et littérature;ROSEMBERGM;2012;actes_congres_national;EHGO;;5_image_espace
6349;Un BHNS pas comme les autres : le Car à Haut Niveau de Service;DREVELLEM;2012;actes_congres_national;CRIA;;3_nouvelle_modelisation
6350;L'accessibilité aux emplois par le chemin de fer en Ile-de-France de 1975 à demain : vers une réduction des écarts sociaux ? ;BEZIATA,DREVELLEM,DESJARDINSX,HEITZA,GOLDBERGJ,LAROSEF;2012;actes_congres_national;CRIA;;3_nouvelle_modelisation
6351;Deux types de systèmes de villes identifiés par la modélisation multi-agents;BRETAGNOLLEA,PUMAIND,GLISSEB,VACCHIANI-MARCUZZOC;2012;actes_congres_national;PARIS;;2_dynamique_reseau
6352;Déchets urbains et métabolisme territorial;BARLESS;2012;conf_invite;CRIA;;4_reseau_territoires
6353;Urban metabolism: methodological aspects and main flows;BARLESS;2012;conf_invite;CRIA;;4_reseau_territoires
6354;Urban metabolism, material flow analysis, and dematerialization: Some key issues;BARLESS;2012;conf_invite;CRIA;;4_reseau_territoires
6355;Métabolisme urbain et modélisation : quels enjeux ? ;BARLESS;2012;conf_invite;CRIA;;4_reseau_territoires
6356;A global perspective on port-region linkages;DUCRUETC,ITOHH,JOLYO;2012;conf_invite;PARIS;1_europe_mondialisation;4_reseau_territoires
6357;Port activities and local socio-economic structure;DUCRUETC;2012;conf_invite;PARIS;1_europe_mondialisation;4_reseau_territoires
6358;Port activities and regional development : a global and comparative analysis;DUCRUETC;2012;conf_invite;PARIS;1_europe_mondialisation;4_reseau_territoires
6359;Ports et hinterlands en Europe : mise en perspective de l'axe Seine;DUCRUETC;2012;conf_invite;PARIS;1_europe_mondialisation;4_reseau_territoires
